date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:10:32	293/293	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Feb%202025%2010:10:32%20GMT	http://localhost/robots.txt		(from )
11:10:33	26286/26286	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2010:10:32%20GMT	http://localhost/taoui/immobilier/	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/index.html	(from )
11:10:34	537/537	---M--	200	added ('OK')	text/css	etag:%22219-586b93d0aea31%22	http://localhost/taoui/immobilier/wp-content/themes/grouptaouidev/style.css	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/wp-content/themes/grouptaouidev/style.css	(from http://localhost/taoui/immobilier/)
11:10:34	1086/1086	---M--	200	added ('OK')	image/x-icon	etag:%2243e-567341b727700%22	http://localhost/taoui/immobilier/wp-content/themes/grouptaouidev/assets/Favicon/favicon.ico	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/wp-content/themes/grouptaouidev/assets/Favicon/favicon.ico	(from http://localhost/taoui/immobilier/)
11:10:34	1086/1086	---M--	200	added ('OK')	image/png	etag:%2243e-567341b727700%22	http://localhost/taoui/immobilier/wp-content/themes/grouptaouidev/assets/Favicon/favicon-16x16.png	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/wp-content/themes/grouptaouidev/assets/Favicon/favicon-16x16.png	(from http://localhost/taoui/immobilier/)
11:10:35	606/606	---M--	200	added ('OK')	application/json	etag:%2225e-58a873eeae9d1%22	http://localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/manifest.json	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/manifest.json	(from http://localhost/taoui/immobilier/)
11:10:35	5635/5635	---M--	200	added ('OK')	image/png	etag:%221603-587c5e2630300%22	http://localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/icons/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/icons/apple-touch-icon-60x60.png	(from http://localhost/taoui/immobilier/)
11:10:35	32988/32988	---M--	200	added ('OK')	image/png	etag:%2280dc-56733fe993600%22	http://localhost/taoui/immobilier/wp-content/themes/grouptaouidev/assets/Favicon/favicon-32x32.png	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/wp-content/themes/grouptaouidev/assets/Favicon/favicon-32x32.png	(from http://localhost/taoui/immobilier/)
11:10:36	7710/7710	---M--	200	added ('OK')	image/png	etag:%221e1e-587c5e2818780%22	http://localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/icons/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/icons/apple-touch-icon-76x76.png	(from http://localhost/taoui/immobilier/)
11:10:37	13826/13826	---M--	200	added ('OK')	image/png	etag:%223602-587c5e2447e80%22	http://localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/icons/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/icons/apple-touch-icon-120x120.png	(from http://localhost/taoui/immobilier/)
11:10:37	5197/5197	---M--	200	added ('OK')	image/svg+xml	etag:%22144d-587c5e2818780%22	http://localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/icons/safari-pinned-tab.svg	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/icons/safari-pinned-tab.svg	(from http://localhost/taoui/immobilier/)
11:10:38	246/246	---M--	200	added ('OK')	application/xml	etag:%22f6-587c5e2818780%22	http://localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/icons/browserconfig.xml	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/icons/browserconfig.xml	(from http://localhost/taoui/immobilier/)
11:10:38	18212/18212	---M--	200	added ('OK')	image/png	etag:%224724-587c5e2630300%22	http://localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/icons/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/icons/apple-touch-icon-152x152.png	(from http://localhost/taoui/immobilier/)
11:10:38	25242/25242	---M--	200	added ('OK')	text/css	etag:%22629a-587e7142f5f7e%22	http://localhost/taoui/immobilier/wp-includes/css/dist/block-library/style.min.css?ver=5.1.1	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/wp-includes/css/dist/block-library/style.min3c21.css	(from http://localhost/taoui/immobilier/)
11:10:40	537/537	---M--	200	added ('OK')	text/css	etag:%22219-586b93d0aea31%22	http://localhost/taoui/immobilier/wp-content/themes/grouptaouidev/style.css?ver=5.1.1	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/wp-content/themes/grouptaouidev/style3c21.css	(from http://localhost/taoui/immobilier/)
11:10:40	22101/22101	---M--	200	added ('OK')	image/png	etag:%225655-587c5e2630300%22	http://localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/icons/apple-touch-icon-180x180.png	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/icons/apple-touch-icon-180x180.png	(from http://localhost/taoui/immobilier/)
11:10:41	34734/34734	---M--	200	added ('OK')	text/css	etag:%2287ae-563a1440adb80%22	http://localhost/taoui/immobilier/wp-content/themes/grouptaouidev/css/fontawesome-all.min.css?ver=5.0.6	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/wp-content/themes/grouptaouidev/css/fontawesome-all.min066b.css	(from http://localhost/taoui/immobilier/)
11:10:42	14762/14762	---M--	200	added ('OK')	image/png	etag:%2239aa-587c5e2447e80%22	http://localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/icons/mstile-144x144.png	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/icons/mstile-144x144.png	(from http://localhost/taoui/immobilier/)
11:10:42	6186/6186	---M--	200	added ('OK')	image/png	etag:%22182a-58a6822b93b7f%22	http://localhost/taoui/immobilier/wp-content/uploads/2018/03/cropped-logo-groupetaoui.png	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/wp-content/uploads/2018/03/cropped-logo-groupetaoui.png	(from http://localhost/taoui/immobilier/)
11:10:43	29875/29875	---M--	200	added ('OK')	image/png	etag:%2274b3-587c5e2447e80%22	http://localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/icons/android-chrome-192x192.png	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/wp-content/themes/grouptaouidev/pwa/icons/android-chrome-192x192.png	(from http://localhost/taoui/immobilier/)
11:10:43	919/919	---M--	200	added ('OK')	application/rss+xml	etag:%22c2ae0e84577ad9575b032c42042b9f81%22	http://localhost/taoui/immobilier/comments/feed/	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/comments/feed/index.html	(from http://localhost/taoui/immobilier/)
11:10:43	16777/16777	---MC-	200	added ('OK')	application/rss+xml	etag:%22685f2547617a7389e4139610f49b4f8f%22	http://localhost/taoui/immobilier/feed/	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/feed/index.html	(from http://localhost/taoui/immobilier/)
11:10:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Feb%202025%2010:10:43%20GMT	http://localhost/taoui/immobilier/le-groupe	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/le-groupe	(from http://localhost/taoui/immobilier/)
11:10:45	69852/69852	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2010:10:43%20GMT	http://localhost/taoui/immobilier/le-groupe/	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/le-groupe/index.html	(from http://localhost/taoui/immobilier/)
11:10:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Feb%202025%2010:10:45%20GMT	http://localhost/taoui/immobilier/haut-standing	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/haut-standing	(from http://localhost/taoui/immobilier/)
11:10:49	41563/41563	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2010:10:43%20GMT	http://localhost/taoui/immobilier/moyen-standing/	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/moyen-standing/index.html	(from http://localhost/taoui/immobilier/)
11:10:49	35516/35516	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2010:10:44%20GMT	http://localhost/taoui/immobilier/social/	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/social/index.html	(from http://localhost/taoui/immobilier/)
11:10:49	59196/59196	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2010:10:43%20GMT	http://localhost/taoui/immobilier/haut-standing/	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/haut-standing/index.html	(from http://localhost/taoui/immobilier/)
11:10:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Feb%202025%2010:10:49%20GMT	http://localhost/taoui/immobilier/?p=189	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/indexa80c.html	(from http://localhost/taoui/immobilier/)
11:10:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Feb%202025%2010:10:49%20GMT	http://localhost/taoui/immobilier/?p=179	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/indexccf8.html	(from http://localhost/taoui/immobilier/)
11:10:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Feb%202025%2010:10:49%20GMT	http://localhost/taoui/immobilier/moyen-standing	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/moyen-standing.14.delayed	(from http://localhost/taoui/immobilier/)
11:10:51	30036/30036	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2010:10:48%20GMT	http://localhost/taoui/immobilier/contact/	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/contact/index.html	(from http://localhost/taoui/immobilier/)
11:10:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Feb%202025%2010:10:51%20GMT	http://localhost/taoui/immobilier/?p=166	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/index8e01.html	(from http://localhost/taoui/immobilier/)
11:10:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Feb%202025%2010:10:51%20GMT	http://localhost/taoui/immobilier/?p=175	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/indexa09e.html	(from http://localhost/taoui/immobilier/)
11:10:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Feb%202025%2010:10:51%20GMT	http://localhost/taoui/immobilier/?p=160	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/index9c2b.html	(from http://localhost/taoui/immobilier/)
11:10:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Feb%202025%2010:10:51%20GMT	http://localhost/taoui/immobilier/?p=205	C:/My%20Web%20Sites/localhost_taoui_immobilier/localhost/taoui/immobilier/indexc140.html	(from http://localhost/taoui/immobilier/)
